,home_team_api_id,away_team_api_id,home_team_mean_rating,away_team_mean_rating,home_top_players,away_top_players,AVG_bet_H,AVG_bet_A_D,h_5_games_pts,a_5_games_pts,h_only_10_games_pts,a_only_10_games_pts,final_result
226,9985,9984,70.86363636363636,66.95454545454545,0,0,1.531666666666667,2.1,7,10,9,3,0
227,9997,9991,65.0909090909091,70.54545454545455,0,0,4.7,1.675,0,9,1,3,0
228,10000,8571,66.68181818181819,66.5,0,0,2.125,1.46875,1,9,1,1,1
229,1773,9987,63.81818181818182,70.77272727272727,0,0,3.591666666666667,4.166666666666667,6,8,6,4,0
230,8203,9994,67.0,67.9090909090909,0,0,2.075,2.4562500000000003,7,4,6,4,0
231,9989,10001,66.04545454545455,66.13636363636364,0,0,2.0250000000000004,2.374166666666666,3,4,3,0,0
232,9985,9989,71.77272727272727,66.68181818181819,0,0,1.3383333333333336,1.741666666666667,8,4,10,2,1
233,9987,8635,72.0,73.31818181818181,0,0,2.6300000000000003,1.3337500000000002,8,11,7,7,0
234,9991,1773,70.68181818181819,64.72727272727273,0,0,1.315,1.820833333333333,12,7,6,3,1
235,9993,8342,66.81818181818181,72.04545454545455,0,0,3.9883333333333333,1.4045833333333333,5,11,7,8,0
236,8571,8203,66.31818181818181,66.31818181818181,0,0,2.033333333333333,1.55,6,4,10,4,1
237,9998,9994,64.13636363636364,68.72727272727273,0,0,2.0416666666666665,2.3991666666666664,7,7,7,7,0
239,9984,9997,67.18181818181819,65.0909090909091,0,0,1.4033333333333333,2.3845833333333335,11,0,8,0,0
240,8571,8635,67.4090909090909,72.68181818181819,0,0,4.675,1.8666666666666665,6,11,17,16,0
241,9993,9994,67.36363636363636,70.18181818181819,0,0,2.368333333333333,1.3962500000000002,5,11,17,13,0
242,9998,1773,66.5909090909091,65.63636363636364,0,0,1.7683333333333335,1.4995833333333335,5,4,13,6,1
243,9985,10000,71.27272727272727,69.95454545454545,0,0,1.6516666666666664,1.9495833333333332,7,6,21,2,0
244,8203,9986,69.68181818181819,62.63636363636363,0,0,1.5166666666666666,1.383333333333333,3,0,14,0,1
245,8342,8475,72.63636363636364,63.77272727272727,0,0,1.2566666666666666,2.3041666666666667,12,0,24,0,1
246,9991,9989,70.86363636363636,65.36363636363636,0,0,1.2966666666666666,1.8083333333333333,10,4,22,9,1
